,Year,Physics,Chemistry,Physiology/Medicine,Literature,Peace,Economic Sciences
0,2024,John Hopfield;Geoffrey Hinton,David Baker;Demis Hassabis;John M. Jumper,Victor Ambros;Gary Ruvkun,Han Kang,Nihon Hidankyo,Daron Acemoglu; Simon Johnson;James A. Robinson
1,2023,Pierre Agostini;Ferenc Krausz;Anne L'Huillier,Moungi Bawendi;Louis E. Brus;Alexey Ekimov,Katalin Karikó;Drew Weissman,Jon Fosse,Narges Mohammadi,Claudia Goldin
2,2022,Alain Aspect;John Clauser;Anton Zeilinger,Carolyn Bertozzi;Morten P. Meldal;Karl Barry Sharpless,Svante Pääbo,Annie Ernaux,Ales Bialiatski;Memorial;Centre for Civil Liberties,Ben Bernanke;Douglas Diamond;Philip H. Dybvig
3,2021,Giorgio Parisi;Klaus Hasselmann;Syukuro Manabe,Benjamin List;David MacMillan,David Julius;Ardem Patapoutian,Abdulrazak Gurnah,Maria Ressa;Dmitry Muratov,David Card;Joshua Angrist;Guido Imbens
4,2020,Roger Penrose;Reinhard Genzel;Andrea M. Ghez,Emmanuelle Charpentier;Jennifer Doudna,Harvey J. Alter;Michael Houghton;Charles M. Rice,Louise Glück,World Food Programme,Paul Milgrom;Robert B. Wilson
5,2019,Jim Peebles;Michel Mayor;Didier Queloz,John B. Goodenough;M. Stanley Whittingham;Akira Yoshino,William Kaelin Jr.;Peter J. Ratcliffe;Gregg L. Semenza,Peter Handke,Abiy Ahmed,Abhijit Banerjee;Esther Duflo;Michael Kremer
6,2018,Arthur Ashkin;Gérard Mourou;Donna Strickland,Frances H. Arnold;George Smith;Greg Winter,James P. Allison;Tasuku Honjo,Olga Tokarczuk[h],Denis Mukwege;Nadia Murad,William Nordhaus;Paul Romer
7,2017,Rainer Weiss;Barry Barish;Kip Thorne,Jacques Dubochet;Joachim Frank;Richard Henderson,Jeffrey C. Hall;Michael Rosbash;Michael W. Young,Kazuo Ishiguro,International Campaign to Abolish Nuclear Weapons,Richard Thaler
8,2016,David J. Thouless;Duncan Haldane;John M. Kosterlitz,Jean-Pierre Sauvage;Fraser Stoddart;Ben Feringa,Yoshinori Ohsumi,Bob Dylan,Juan Manuel Santos,Oliver Hart;Bengt R. Holmström
9,2015,Takaaki Kajita;Arthur B. McDonald,Tomas Lindahl;Paul L. Modrich;Aziz Sancar,William C. Campbell;Satoshi Ōmura;Tu Youyou,Svetlana Alexievich,Tunisian National Dialogue Quartet,Angus Deaton
10,2014,Isamu Akasaki;Hiroshi Amano;Shuji Nakamura,Eric Betzig;Stefan Hell;William Moerner,John O'Keefe;May-Britt Moser;Edvard Moser,Patrick Modiano,Kailash Satyarthi;Malala Yousafzai,Jean Tirole
