,YEAR,LAUREATE,NAME_ORDER,URL,FIELD,place of birth,born,place of death,age at death,died,other awards,nationality,alma mater
0,1901,Jacobus Henricus van 't Hoff,1,/wiki/Jacobus_Henricus_van_%27t_Hoff,Chemistry,Netherlands,1852-08-30,Berlin German Empire,58,1911-03-01,4.0,,
1,1901,Sully Prudhomme,1,/wiki/Sully_Prudhomme,Literature,France,1839-03-16,France,68,1907-09-06,0.0,French,
2,1901,Emil von Behring,1,/wiki/Emil_von_Behring,Medicine,Poland,1854-03-15,German Empire,63,1917-03-31,1.0,German,
3,1901,Henry Dunant,1,/wiki/Henry_Dunant,Peace,Switzerland,1828-05-08,Heiden Switzerland,82,1910-10-30,0.0,Swiss,
4,1901,Frédéric Passy,2,/wiki/Fr%C3%A9d%C3%A9ric_Passy,Peace,France,1822-05-20,France,90,1912-06-12,1.0,,
5,1901,Wilhelm Röntgen,1,/wiki/Wilhelm_R%C3%B6ntgen,Physics,German Confederation,1845-03-27,Weimar Republic,77,1923-02-10,4.0,,
6,1902,Emil Fischer,1,/wiki/Emil_Fischer,Chemistry,Rhine Province,1852-10-09,Germany,66,1919-07-15,4.0,German,
7,1902,Theodor Mommsen,1,/wiki/Theodor_Mommsen,Literature,Denmark,1817-11-30,German Empire,85,1903-11-01,1.0,,
8,1902,Ronald Ross,1,/wiki/Ronald_Ross,Medicine,British India,1857-05-13,London UK,75,1932-09-16,4.0,British,
9,1902,Élie Ducommun,1,/wiki/%C3%89lie_Ducommun,Peace,Geneva,1833-02-19,Bern,73,1906-12-07,0.0,,
10,1902,Charles Albert Gobat,2,/wiki/Charles_Albert_Gobat,Peace,Switzerland,1843-05-21,Switzerland,70,1914-03-16,0.0,,
11,1902,Hendrik Lorentz,1,/wiki/Hendrik_Lorentz,Physics,Netherlands,1853-07-18,Netherlands,74,1928-02-04,4.0,,
