YEAR,LAUREATE,NAME_ORDER,URL,FIELD
1901,Jacobus Henricus van 't Hoff,1,/wiki/Jacobus_Henricus_van_%27t_Hoff,Chemistry
1901,Sully Prudhomme,1,/wiki/Sully_Prudhomme,Literature
1901,Emil von Behring,1,/wiki/Emil_von_Behring,Medicine
1901,Henry Dunant,1,/wiki/Henry_Dunant,Peace
1901,Frédéric Passy,2,/wiki/Fr%C3%A9d%C3%A9ric_Passy,Peace
1901,Wilhelm Röntgen,1,/wiki/Wilhelm_R%C3%B6ntgen,Physics
1902,Emil Fischer,1,/wiki/Emil_Fischer,Chemistry
1902,Theodor Mommsen,1,/wiki/Theodor_Mommsen,Literature
1902,Ronald Ross,1,/wiki/Ronald_Ross,Medicine
1902,Élie Ducommun,1,/wiki/%C3%89lie_Ducommun,Peace
1902,Charles Albert Gobat,2,/wiki/Charles_Albert_Gobat,Peace
1902,Hendrik Lorentz,1,/wiki/Hendrik_Lorentz,Physics
1902,Pieter Zeeman,2,/wiki/Pieter_Zeeman,Physics
1903,Svante Arrhenius,1,/wiki/Svante_Arrhenius,Chemistry
1903,Bjørnstjerne Bjørnson,1,/wiki/Bj%C3%B8rnstjerne_Bj%C3%B8rnson,Literature
1903,Niels Ryberg Finsen,1,/wiki/Niels_Ryberg_Finsen,Medicine
1903,Randal Cremer,1,/wiki/Randal_Cremer,Peace
1903,Henri Becquerel,1,/wiki/Henri_Becquerel,Physics
1903,Pierre Curie,2,/wiki/Pierre_Curie,Physics
1903,Marie Curie,3,/wiki/Marie_Curie,Physics
1904,William Ramsay,1,/wiki/William_Ramsay,Chemistry
1904,Frédéric Mistral,1,/wiki/Fr%C3%A9d%C3%A9ric_Mistral,Literature
1904,José Echegaray,2,/wiki/Jos%C3%A9_Echegaray,Literature
1904,Ivan Pavlov,1,/wiki/Ivan_Pavlov,Medicine
1904,Institut de Droit International,1,/wiki/Institut_de_Droit_International,Peace
1904,Lord Rayleigh,1,"/wiki/John_Strutt,_3rd_Baron_Rayleigh",Physics
1905,Adolf von Baeyer,1,/wiki/Adolf_von_Baeyer,Chemistry
1905,Henryk Sienkiewicz,1,/wiki/Henryk_Sienkiewicz,Literature
1905,Robert Koch,1,/wiki/Robert_Koch,Medicine
1905,Bertha von Suttner,1,/wiki/Bertha_von_Suttner,Peace
1905,Philipp Lenard,1,/wiki/Philipp_Lenard,Physics
1906,Henri Moissan,1,/wiki/Henri_Moissan,Chemistry
1906,Giosuè Carducci,1,/wiki/Giosu%C3%A8_Carducci,Literature
1906,Camillo Golgi,1,/wiki/Camillo_Golgi,Medicine
1906,Santiago Ramón y Cajal,2,/wiki/Santiago_Ram%C3%B3n_y_Cajal,Medicine
1906,Theodore Roosevelt,1,/wiki/Theodore_Roosevelt,Peace
1906,J. J. Thomson,1,/wiki/J._J._Thomson,Physics
1907,Eduard Buchner,1,/wiki/Eduard_Buchner,Chemistry
1907,Rudyard Kipling,1,/wiki/Rudyard_Kipling,Literature
1907,Charles Louis Alphonse Laveran,1,/wiki/Charles_Louis_Alphonse_Laveran,Medicine
1907,Ernesto Teodoro Moneta,1,/wiki/Ernesto_Teodoro_Moneta,Peace
1907,Louis Renault,2,/wiki/Louis_Renault_(jurist),Peace
1907,Albert A. Michelson,1,/wiki/Albert_A._Michelson,Physics
1908,Ernest Rutherford,1,/wiki/Ernest_Rutherford,Chemistry
1908,Rudolf Christoph Eucken,1,/wiki/Rudolf_Christoph_Eucken,Literature
1908,Élie Metchnikoff,1,/wiki/%C3%89lie_Metchnikoff,Medicine
1908,Paul Ehrlich,2,/wiki/Paul_Ehrlich,Medicine
1908,Klas Pontus Arnoldson,1,/wiki/Klas_Pontus_Arnoldson,Peace
1908,Fredrik Bajer,2,/wiki/Fredrik_Bajer,Peace
1908,Gabriel Lippmann,1,/wiki/Gabriel_Lippmann,Physics
1909,Wilhelm Ostwald,1,/wiki/Wilhelm_Ostwald,Chemistry
1909,Selma Lagerlöf,1,/wiki/Selma_Lagerl%C3%B6f,Literature
1909,Emil Theodor Kocher,1,/wiki/Emil_Theodor_Kocher,Medicine
1909,Auguste Beernaert,1,/wiki/Auguste_Beernaert,Peace
1909,Paul Henri Balluet d'Estournelles de Constant,2,/wiki/Paul_Henri_Balluet_d%27Estournelles_de_Constant,Peace
1909,Karl Ferdinand Braun,1,/wiki/Karl_Ferdinand_Braun,Physics
1909,Guglielmo Marconi,2,/wiki/Guglielmo_Marconi,Physics
1910,Otto Wallach,1,/wiki/Otto_Wallach,Chemistry
1910,Paul Heyse,1,/wiki/Paul_Heyse,Literature
1910,Albrecht Kossel,1,/wiki/Albrecht_Kossel,Medicine
1910,International Peace Bureau,1,/wiki/International_Peace_Bureau,Peace
1910,Johannes Diderik van der Waals,1,/wiki/Johannes_Diderik_van_der_Waals,Physics
1911,Marie Curie,1,/wiki/Marie_Curie,Chemistry
1911,Maurice Maeterlinck,1,/wiki/Maurice_Maeterlinck,Literature
1911,Allvar Gullstrand,1,/wiki/Allvar_Gullstrand,Medicine
1911,Tobias Asser,1,/wiki/Tobias_Asser,Peace
1911,Alfred Hermann Fried,2,/wiki/Alfred_Hermann_Fried,Peace
1911,Wilhelm Wien,1,/wiki/Wilhelm_Wien,Physics
1912,Victor Grignard,1,/wiki/Victor_Grignard,Chemistry
1912,Paul Sabatier,2,/wiki/Paul_Sabatier_(chemist),Chemistry
1912,Gerhart Hauptmann,1,/wiki/Gerhart_Hauptmann,Literature
1912,Alexis Carrel,1,/wiki/Alexis_Carrel,Medicine
1912,Elihu Root,1,/wiki/Elihu_Root,Peace
1912,Gustaf Dalén,1,/wiki/Gustaf_Dal%C3%A9n,Physics
1913,Alfred Werner,1,/wiki/Alfred_Werner,Chemistry
1913,Rabindranath Tagore,1,/wiki/Rabindranath_Tagore,Literature
1913,Charles Richet,1,/wiki/Charles_Richet,Medicine
1913,Henri La Fontaine,1,/wiki/Henri_La_Fontaine,Peace
1913,Heike Kamerlingh Onnes,1,/wiki/Heike_Kamerlingh_Onnes,Physics
1914,Theodore William Richards,1,/wiki/Theodore_William_Richards,Chemistry
1914,Robert Bárány,1,/wiki/Robert_B%C3%A1r%C3%A1ny,Medicine
1914,Max von Laue,1,/wiki/Max_von_Laue,Physics
1915,Richard Willstätter,1,/wiki/Richard_Willst%C3%A4tter,Chemistry
1915,Romain Rolland,1,/wiki/Romain_Rolland,Literature
1915,William Henry Bragg,1,/wiki/William_Henry_Bragg,Physics
1915,Lawrence Bragg,2,/wiki/Lawrence_Bragg,Physics
1916,Verner von Heidenstam,1,/wiki/Verner_von_Heidenstam,Literature
1917,Karl Adolph Gjellerup,1,/wiki/Karl_Adolph_Gjellerup,Literature
1917,Henrik Pontoppidan,2,/wiki/Henrik_Pontoppidan,Literature
1917,International Committee of the Red Cross,1,/wiki/International_Committee_of_the_Red_Cross,Peace
1917,Charles Glover Barkla,1,/wiki/Charles_Glover_Barkla,Physics
1918,Fritz Haber,1,/wiki/Fritz_Haber,Chemistry
1918,Max Planck,1,/wiki/Max_Planck,Physics
1919,Carl Spitteler,1,/wiki/Carl_Spitteler,Literature
1919,Jules Bordet,1,/wiki/Jules_Bordet,Medicine
1919,Woodrow Wilson,1,/wiki/Woodrow_Wilson,Peace
1919,Johannes Stark,1,/wiki/Johannes_Stark,Physics
1920,Walther Nernst,1,/wiki/Walther_Nernst,Chemistry
1920,Knut Hamsun,1,/wiki/Knut_Hamsun,Literature
1920,August Krogh,1,/wiki/August_Krogh,Medicine
1920,Léon Bourgeois,1,/wiki/L%C3%A9on_Bourgeois,Peace
1920,Charles Édouard Guillaume,1,/wiki/Charles_%C3%89douard_Guillaume,Physics
1921,Frederick Soddy,1,/wiki/Frederick_Soddy,Chemistry
1921,Anatole France,1,/wiki/Anatole_France,Literature
1921,Hjalmar Branting,1,/wiki/Hjalmar_Branting,Peace
1921,Christian Lous Lange,2,/wiki/Christian_Lous_Lange,Peace
1921,Albert Einstein,1,/wiki/Albert_Einstein,Physics
1922,Francis William Aston,1,/wiki/Francis_William_Aston,Chemistry
1922,Jacinto Benavente,1,/wiki/Jacinto_Benavente,Literature
1922,Archibald Hill,1,/wiki/Archibald_Hill,Medicine
1922,Otto Fritz Meyerhof,2,/wiki/Otto_Fritz_Meyerhof,Medicine
1922,Fridtjof Nansen,1,/wiki/Fridtjof_Nansen,Peace
1922,Niels Bohr,1,/wiki/Niels_Bohr,Physics
1923,Fritz Pregl,1,/wiki/Fritz_Pregl,Chemistry
1923,W. B. Yeats,1,/wiki/W._B._Yeats,Literature
1923,Frederick Banting,1,/wiki/Frederick_Banting,Medicine
1923,John Macleod,2,/wiki/John_Macleod_(physiologist),Medicine
1923,Robert Andrews Millikan,1,/wiki/Robert_Andrews_Millikan,Physics
1924,Władysław Reymont,1,/wiki/W%C5%82adys%C5%82aw_Reymont,Literature
1924,Willem Einthoven,1,/wiki/Willem_Einthoven,Medicine
1924,Manne Siegbahn,1,/wiki/Manne_Siegbahn,Physics
1925,Richard Adolf Zsigmondy,1,/wiki/Richard_Adolf_Zsigmondy,Chemistry
1925,George Bernard Shaw,1,/wiki/George_Bernard_Shaw,Literature
1925,Austen Chamberlain,1,/wiki/Austen_Chamberlain,Peace
1925,Charles G. Dawes,2,/wiki/Charles_G._Dawes,Peace
1925,James Franck,1,/wiki/James_Franck,Physics
1925,Gustav Ludwig Hertz,2,/wiki/Gustav_Ludwig_Hertz,Physics
1926,Theodor Svedberg,1,/wiki/Theodor_Svedberg,Chemistry
1926,Grazia Deledda,1,/wiki/Grazia_Deledda,Literature
1926,Johannes Fibiger,1,/wiki/Johannes_Fibiger,Medicine
1926,Aristide Briand,1,/wiki/Aristide_Briand,Peace
1926,Gustav Stresemann,2,/wiki/Gustav_Stresemann,Peace
1926,Jean Baptiste Perrin,1,/wiki/Jean_Baptiste_Perrin,Physics
1927,Heinrich Otto Wieland,1,/wiki/Heinrich_Otto_Wieland,Chemistry
1927,Henri Bergson,1,/wiki/Henri_Bergson,Literature
1927,Julius Wagner-Jauregg,1,/wiki/Julius_Wagner-Jauregg,Medicine
1927,Ferdinand Buisson,1,/wiki/Ferdinand_Buisson,Peace
1927,Ludwig Quidde,2,/wiki/Ludwig_Quidde,Peace
1927,Arthur Compton,1,/wiki/Arthur_Compton,Physics
1927,Charles Thomson Rees Wilson,2,/wiki/Charles_Thomson_Rees_Wilson,Physics
1928,Adolf Windaus,1,/wiki/Adolf_Windaus,Chemistry
1928,Sigrid Undset,1,/wiki/Sigrid_Undset,Literature
1928,Charles Nicolle,1,/wiki/Charles_Nicolle,Medicine
1928,Owen Willans Richardson,1,/wiki/Owen_Willans_Richardson,Physics
1929,Arthur Harden,1,/wiki/Arthur_Harden,Chemistry
1929,Hans von Euler-Chelpin,2,/wiki/Hans_von_Euler-Chelpin,Chemistry
1929,Thomas Mann,1,/wiki/Thomas_Mann,Literature
1929,Christiaan Eijkman,1,/wiki/Christiaan_Eijkman,Medicine
1929,Frederick Gowland Hopkins,2,/wiki/Frederick_Gowland_Hopkins,Medicine
1929,Frank B. Kellogg,1,/wiki/Frank_B._Kellogg,Peace
1929,Louis de Broglie,1,/wiki/Louis_de_Broglie,Physics
1930,Hans Fischer,1,/wiki/Hans_Fischer,Chemistry
1930,Sinclair Lewis,1,/wiki/Sinclair_Lewis,Literature
1930,Karl Landsteiner,1,/wiki/Karl_Landsteiner,Medicine
1930,Nathan Söderblom,1,/wiki/Nathan_S%C3%B6derblom,Peace
1930,C. V. Raman,1,/wiki/C._V._Raman,Physics
1931,Carl Bosch,1,/wiki/Carl_Bosch,Chemistry
1931,Friedrich Bergius,2,/wiki/Friedrich_Bergius,Chemistry
1931,Erik Axel Karlfeldt,1,/wiki/Erik_Axel_Karlfeldt,Literature
1931,Otto Heinrich Warburg,1,/wiki/Otto_Heinrich_Warburg,Medicine
1931,Jane Addams,1,/wiki/Jane_Addams,Peace
1931,Nicholas Murray Butler,2,/wiki/Nicholas_Murray_Butler,Peace
1932,Irving Langmuir,1,/wiki/Irving_Langmuir,Chemistry
1932,John Galsworthy,1,/wiki/John_Galsworthy,Literature
1932,Charles Scott Sherrington,1,/wiki/Charles_Scott_Sherrington,Medicine
1932,Edgar Adrian,2,/wiki/Edgar_Adrian,Medicine
1932,Werner Heisenberg,1,/wiki/Werner_Heisenberg,Physics
1933,Ivan Bunin,1,/wiki/Ivan_Bunin,Literature
1933,Thomas Hunt Morgan,1,/wiki/Thomas_Hunt_Morgan,Medicine
1933,Norman Angell,1,/wiki/Norman_Angell,Peace
1933,Erwin Schrödinger,1,/wiki/Erwin_Schr%C3%B6dinger,Physics
1933,Paul Dirac,2,/wiki/Paul_Dirac,Physics
1934,Harold Urey,1,/wiki/Harold_Urey,Chemistry
1934,Luigi Pirandello,1,/wiki/Luigi_Pirandello,Literature
1934,George Whipple,1,/wiki/George_Whipple,Medicine
1934,George Minot,2,/wiki/George_Minot,Medicine
1934,William P. Murphy,3,/wiki/William_P._Murphy,Medicine
1934,Arthur Henderson,1,/wiki/Arthur_Henderson,Peace
1935,Frédéric Joliot-Curie,1,/wiki/Fr%C3%A9d%C3%A9ric_Joliot-Curie,Chemistry
1935,Irène Joliot-Curie,2,/wiki/Ir%C3%A8ne_Joliot-Curie,Chemistry
1935,Hans Spemann,1,/wiki/Hans_Spemann,Medicine
1935,Carl von Ossietzky,1,/wiki/Carl_von_Ossietzky,Peace
1935,James Chadwick,1,/wiki/James_Chadwick,Physics
1936,Peter Debye,1,/wiki/Peter_Debye,Chemistry
1936,Eugene O'Neill,1,/wiki/Eugene_O%27Neill,Literature
1936,Henry Hallett Dale,1,/wiki/Henry_Hallett_Dale,Medicine
1936,Otto Loewi,2,/wiki/Otto_Loewi,Medicine
1936,Carlos Saavedra Lamas,1,/wiki/Carlos_Saavedra_Lamas,Peace
1936,Victor Francis Hess,1,/wiki/Victor_Francis_Hess,Physics
1936,Carl David Anderson,2,/wiki/Carl_David_Anderson,Physics
1937,Norman Haworth,1,/wiki/Norman_Haworth,Chemistry
1937,Paul Karrer,2,/wiki/Paul_Karrer,Chemistry
1937,Roger Martin du Gard,1,/wiki/Roger_Martin_du_Gard,Literature
1937,Albert Szent-Györgyi,1,/wiki/Albert_Szent-Gy%C3%B6rgyi,Medicine
1937,"Robert Cecil, 1st Viscount Cecil of Chelwood",1,"/wiki/Robert_Cecil,_1st_Viscount_Cecil_of_Chelwood",Peace
1937,Clinton Davisson,1,/wiki/Clinton_Davisson,Physics
1937,George Paget Thomson,2,/wiki/George_Paget_Thomson,Physics
1938,Richard Kuhn,1,/wiki/Richard_Kuhn,Chemistry
