,YEAR,AUTHOR_1,AUTHOR_2,AUTHOR_3,URL_1,URL_2,URL_3
0,2024,David Baker,Demis Hassabis,John M. Jumper,/wiki/David_Baker_(biochemist),/wiki/Demis_Hassabis,/wiki/John_M._Jumper
1,2023,Moungi Bawendi,Louis E. Brus,Alexey Ekimov,/wiki/Moungi_Bawendi,/wiki/Louis_E._Brus,/wiki/Alexey_Ekimov
2,2022,Carolyn Bertozzi,Morten P. Meldal,Karl Barry Sharpless,/wiki/Carolyn_Bertozzi,/wiki/Morten_P._Meldal,/wiki/Karl_Barry_Sharpless
3,2021,Benjamin List,David MacMillan,,/wiki/Benjamin_List,/wiki/David_MacMillan,
4,2020,Emmanuelle Charpentier,Jennifer Doudna,,/wiki/Emmanuelle_Charpentier,/wiki/Jennifer_Doudna,
5,2019,John B. Goodenough,M. Stanley Whittingham,Akira Yoshino,/wiki/John_B._Goodenough,/wiki/M._Stanley_Whittingham,/wiki/Akira_Yoshino
6,2018,Frances H. Arnold,George Smith,Greg Winter,/wiki/Frances_H._Arnold,/wiki/George_Smith_(chemist),/wiki/Greg_Winter
7,2017,Jacques Dubochet,Joachim Frank,Richard Henderson,/wiki/Jacques_Dubochet,/wiki/Joachim_Frank,/wiki/Richard_Henderson_(biologist)
8,2016,Jean-Pierre Sauvage,Fraser Stoddart,Ben Feringa,/wiki/Jean-Pierre_Sauvage,/wiki/Fraser_Stoddart,/wiki/Ben_Feringa
9,2015,Tomas Lindahl,Paul L. Modrich,Aziz Sancar,/wiki/Tomas_Lindahl,/wiki/Paul_Modrich,/wiki/Aziz_Sancar
10,2014,Eric Betzig,Stefan Hell,William Moerner,/wiki/Eric_Betzig,/wiki/Stefan_Hell,/wiki/William_Moerner
11,2013,Martin Karplus,Michael Levitt,Arieh Warshel,/wiki/Martin_Karplus,/wiki/Michael_Levitt_(biophysicist),/wiki/Arieh_Warshel
12,2012,Brian K. Kobilka,Robert J. Lefkowitz,,/wiki/Brian_Kobilka,/wiki/Robert_Lefkowitz,
13,2011,Dan Shechtman,,,/wiki/Dan_Shechtman,,
14,2010,Richard F. Heck,Ei-ichi Negishi,Akira Suzuki,/wiki/Richard_F._Heck,/wiki/Ei-ichi_Negishi,/wiki/Akira_Suzuki_(chemist)
15,2009,Venkatraman Ramakrishnan,Thomas A. Steitz,Ada Yonath,/wiki/Venkatraman_Ramakrishnan,/wiki/Thomas_A._Steitz,/wiki/Ada_Yonath
16,2008,Osamu Shimomura,Martin Chalfie,Roger Y. Tsien,/wiki/Osamu_Shimomura,/wiki/Martin_Chalfie,/wiki/Roger_Y._Tsien
17,2007,Gerhard Ertl,,,/wiki/Gerhard_Ertl,,
18,2006,Roger D. Kornberg,,,/wiki/Roger_D._Kornberg,,
19,2005,Yves Chauvin,Robert H. Grubbs,Richard R. Schrock,/wiki/Yves_Chauvin,/wiki/Robert_H._Grubbs,/wiki/Richard_R._Schrock
20,2004,Aaron Ciechanover,Avram Hershko,Irwin Rose,/wiki/Aaron_Ciechanover,/wiki/Avram_Hershko,/wiki/Irwin_Rose
21,2003,Peter Agre,Roderick MacKinnon,,/wiki/Peter_Agre,/wiki/Roderick_MacKinnon,
22,2002,John B. Fenn,Koichi Tanaka,Kurt Wüthrich,/wiki/John_B._Fenn,/wiki/Koichi_Tanaka,/wiki/Kurt_W%C3%BCthrich
23,2001,William Standish Knowles,Ryōji Noyori,Karl Barry Sharpless,/wiki/William_Standish_Knowles,/wiki/Ry%C5%8Dji_Noyori,/wiki/Karl_Barry_Sharpless
24,2000,Alan J. Heeger,Alan MacDiarmid,Hideki Shirakawa,/wiki/Alan_J._Heeger,/wiki/Alan_MacDiarmid,/wiki/Hideki_Shirakawa
25,1999,Ahmed Zewail,,,/wiki/Ahmed_Zewail,,
26,1998,Walter Kohn,John Pople,,/wiki/Walter_Kohn,/wiki/John_Pople,
27,1997,Paul D. Boyer,John E. Walker,Jens Christian Skou,/wiki/Paul_D._Boyer,/wiki/John_E._Walker,/wiki/Jens_Christian_Skou
28,1996,Robert Curl,Harry Kroto,Richard Smalley,/wiki/Robert_Curl,/wiki/Harry_Kroto,/wiki/Richard_Smalley
29,1995,Paul J. Crutzen,Mario J. Molina,F. Sherwood Rowland,/wiki/Paul_J._Crutzen,/wiki/Mario_J._Molina,/wiki/F._Sherwood_Rowland
30,1994,George Andrew Olah,,,/wiki/George_Andrew_Olah,,
31,1993,Kary Mullis,Michael Smith,,/wiki/Kary_Mullis,/wiki/Michael_Smith_(chemist),
32,1992,Rudolph A. Marcus,,,/wiki/Rudolph_A._Marcus,,
33,1991,Richard R. Ernst,,,/wiki/Richard_R._Ernst,,
34,1990,Elias James Corey,,,/wiki/Elias_James_Corey,,
35,1989,Sidney Altman,Thomas Cech,,/wiki/Sidney_Altman,/wiki/Thomas_Cech,
36,1988,Johann Deisenhofer,Robert Huber,Hartmut Michel,/wiki/Johann_Deisenhofer,/wiki/Robert_Huber,/wiki/Hartmut_Michel
37,1987,Donald J. Cram,Jean-Marie Lehn,Charles J. Pedersen,/wiki/Donald_J._Cram,/wiki/Jean-Marie_Lehn,/wiki/Charles_J._Pedersen
38,1986,Dudley R. Herschbach,Yuan T. Lee,John Polanyi,/wiki/Dudley_R._Herschbach,/wiki/Yuan_T._Lee,/wiki/John_Polanyi
39,1985,Herbert A. Hauptman,Jerome Karle,,/wiki/Herbert_A._Hauptman,/wiki/Jerome_Karle,
40,1984,Robert Bruce Merrifield,,,/wiki/Robert_Bruce_Merrifield,,
41,1983,Henry Taube,,,/wiki/Henry_Taube,,
42,1982,Aaron Klug,,,/wiki/Aaron_Klug,,
43,1981,Kenichi Fukui,Roald Hoffmann,,/wiki/Kenichi_Fukui,/wiki/Roald_Hoffmann,
44,1980,Paul Berg,Walter Gilbert,Frederick Sanger,/wiki/Paul_Berg,/wiki/Walter_Gilbert,/wiki/Frederick_Sanger
45,1979,Herbert C. Brown,Georg Wittig,,/wiki/Herbert_C._Brown,/wiki/Georg_Wittig,
46,1978,Peter D. Mitchell,,,/wiki/Peter_D._Mitchell,,
47,1977,Ilya Prigogine,,,/wiki/Ilya_Prigogine,,
48,1976,William Lipscomb,,,/wiki/William_Lipscomb,,
49,1975,John Cornforth,Vladimir Prelog,,/wiki/John_Cornforth,/wiki/Vladimir_Prelog,
50,1974,Paul Flory,,,/wiki/Paul_Flory,,
51,1973,Ernst Otto Fischer,Geoffrey Wilkinson,,/wiki/Ernst_Otto_Fischer,/wiki/Geoffrey_Wilkinson,
52,1972,Christian B. Anfinsen,Stanford Moore,William Howard Stein,/wiki/Christian_B._Anfinsen,/wiki/Stanford_Moore,/wiki/William_Howard_Stein
53,1971,Gerhard Herzberg,,,/wiki/Gerhard_Herzberg,,
54,1970,Luis Federico Leloir,,,/wiki/Luis_Federico_Leloir,,
55,1969,Derek Barton,Odd Hassel,,/wiki/Derek_Barton,/wiki/Odd_Hassel,
56,1968,Lars Onsager,,,/wiki/Lars_Onsager,,
57,1967,Manfred Eigen,Ronald George Wreyford Norrish,George Porter,/wiki/Manfred_Eigen,/wiki/Ronald_George_Wreyford_Norrish,/wiki/George_Porter
58,1966,Robert S. Mulliken,,,/wiki/Robert_S._Mulliken,,
59,1965,Robert Burns Woodward,,,/wiki/Robert_Burns_Woodward,,
60,1964,Dorothy Hodgkin,,,/wiki/Dorothy_Hodgkin,,
61,1963,Karl Ziegler,Giulio Natta,,/wiki/Karl_Ziegler,/wiki/Giulio_Natta,
62,1962,Max Perutz,John Kendrew,,/wiki/Max_Perutz,/wiki/John_Kendrew,
63,1961,Melvin Calvin,,,/wiki/Melvin_Calvin,,
64,1960,Willard Libby,,,/wiki/Willard_Libby,,
65,1959,Jaroslav Heyrovský,,,/wiki/Jaroslav_Heyrovsk%C3%BD,,
66,1958,Frederick Sanger,,,/wiki/Frederick_Sanger,,
67,1957,The Lord Todd,,,/wiki/Alexander_R._Todd,,
68,1956,Cyril Norman Hinshelwood,Nikolay Semyonov,,/wiki/Cyril_Norman_Hinshelwood,/wiki/Nikolay_Semyonov,
69,1955,Vincent du Vigneaud,,,/wiki/Vincent_du_Vigneaud,,
