,YEAR,AUTHOR_1,AUTHOR_2,AUTHOR_3,URL_1,URL_2,URL_3
0,2024,Daron Acemoglu, Simon Johnson,James A. Robinson,/wiki/Daron_Acemoglu,/wiki/Simon_Johnson_(economist),/wiki/James_A._Robinson
1,2023,Claudia Goldin,,,/wiki/Claudia_Goldin,,
2,2022,Ben Bernanke,Douglas Diamond,Philip H. Dybvig,/wiki/Ben_Bernanke,/wiki/Douglas_Diamond,/wiki/Philip_H._Dybvig
3,2021,David Card,Joshua Angrist,Guido Imbens,/wiki/David_Card,/wiki/Joshua_Angrist,/wiki/Guido_Imbens
4,2020,Paul Milgrom,Robert B. Wilson,,/wiki/Paul_Milgrom,/wiki/Robert_B._Wilson,
5,2019,Abhijit Banerjee,Esther Duflo,Michael Kremer,/wiki/Abhijit_Banerjee,/wiki/Esther_Duflo,/wiki/Michael_Kremer
6,2018,William Nordhaus,Paul Romer,,/wiki/William_Nordhaus,/wiki/Paul_Romer,
7,2017,Richard Thaler,,,/wiki/Richard_Thaler,,
8,2016,Oliver Hart,Bengt R. Holmström,,/wiki/Oliver_Hart_(economist),/wiki/Bengt_R._Holmstr%C3%B6m,
9,2015,Angus Deaton,,,/wiki/Angus_Deaton,,
10,2014,Jean Tirole,,,/wiki/Jean_Tirole,,
11,2013,Eugene F. Fama,Lars Peter Hansen,Robert J. Shiller,/wiki/Eugene_Fama,/wiki/Lars_Peter_Hansen,/wiki/Robert_Shiller
12,2012,Alvin E. Roth,Lloyd S. Shapley,,/wiki/Alvin_E._Roth,/wiki/Lloyd_Shapley,
13,2011,Thomas J. Sargent,Christopher A. Sims,,/wiki/Thomas_J._Sargent,/wiki/Christopher_A._Sims,
14,2010,Peter A. Diamond,Dale T. Mortensen,Christopher A. Pissarides,/wiki/Peter_Diamond,/wiki/Dale_T._Mortensen,/wiki/Christopher_A._Pissarides
15,2009,Elinor Ostrom,Oliver E. Williamson,,/wiki/Elinor_Ostrom,/wiki/Oliver_E._Williamson,
