,YEAR,LITERATURE,LITERATURE_URL
0,2024,Han Kang,/wiki/Han_Kang
1,2023,Jon Fosse,/wiki/Jon_Fosse
2,2022,Annie Ernaux,/wiki/Annie_Ernaux
3,2021,Abdulrazak Gurnah,/wiki/Abdulrazak_Gurnah
4,2020,Louise Glück,/wiki/Louise_Gl%C3%BCck
5,2019,Peter Handke,/wiki/Peter_Handke
6,2018,Olga Tokarczuk[h],/wiki/Olga_Tokarczuk;#cite_note-G-24
7,2017,Kazuo Ishiguro,/wiki/Kazuo_Ishiguro
8,2016,Bob Dylan,/wiki/Bob_Dylan
9,2015,Svetlana Alexievich,/wiki/Svetlana_Alexievich
10,2014,Patrick Modiano,/wiki/Patrick_Modiano
11,2013,Alice Munro,/wiki/Alice_Munro
12,2012,Mo Yan,/wiki/Mo_Yan
13,2011,Tomas Tranströmer,/wiki/Tomas_Transtr%C3%B6mer
14,2010,Mario Vargas Llosa,/wiki/Mario_Vargas_Llosa
15,2009,Herta Müller,/wiki/Herta_M%C3%BCller
16,2008,J. M. G. Le Clézio,/wiki/J._M._G._Le_Cl%C3%A9zio
17,2007,Doris Lessing,/wiki/Doris_Lessing
18,2006,Orhan Pamuk,/wiki/Orhan_Pamuk
19,2005,Harold Pinter,/wiki/Harold_Pinter
20,2004,Elfriede Jelinek,/wiki/Elfriede_Jelinek
21,2003,J. M. Coetzee,/wiki/J._M._Coetzee
22,2002,Imre Kertész,/wiki/Imre_Kert%C3%A9sz
23,2001,V. S. Naipaul,/wiki/V._S._Naipaul
24,2000,Gao Xingjian,/wiki/Gao_Xingjian
25,1999,Günter Grass,/wiki/G%C3%BCnter_Grass
26,1998,José Saramago,/wiki/Jos%C3%A9_Saramago
27,1997,Dario Fo,/wiki/Dario_Fo
28,1996,Wisława Szymborska,/wiki/Wis%C5%82awa_Szymborska
29,1995,Seamus Heaney,/wiki/Seamus_Heaney
30,1994,Kenzaburō Ōe,/wiki/Kenzabur%C5%8D_%C5%8Ce
31,1993,Toni Morrison,/wiki/Toni_Morrison
32,1992,Derek Walcott,/wiki/Derek_Walcott
33,1991,Nadine Gordimer,/wiki/Nadine_Gordimer
34,1990,Octavio Paz,/wiki/Octavio_Paz
35,1989,Camilo José Cela,/wiki/Camilo_Jos%C3%A9_Cela
36,1988,Naguib Mahfouz,/wiki/Naguib_Mahfouz
37,1987,Joseph Brodsky,/wiki/Joseph_Brodsky
38,1986,Wole Soyinka,/wiki/Wole_Soyinka
