,YEAR,AUTHOR_1,AUTHOR_2,AUTHOR_3,URL_1,URL_2,URL_3
0,2024,Victor Ambros,Gary Ruvkun,,/wiki/Victor_Ambros,/wiki/Gary_Ruvkun,
1,2023,Katalin Karikó,Drew Weissman,,/wiki/Katalin_Karik%C3%B3,/wiki/Drew_Weissman,
2,2022,Svante Pääbo,,,/wiki/Svante_P%C3%A4%C3%A4bo,,
3,2021,David Julius,Ardem Patapoutian,,/wiki/David_Julius,/wiki/Ardem_Patapoutian,
4,2020,Harvey J. Alter,Michael Houghton,Charles M. Rice,/wiki/Harvey_J._Alter,/wiki/Michael_Houghton_(virologist),/wiki/Charles_M._Rice
5,2019,William Kaelin Jr.,Peter J. Ratcliffe,Gregg L. Semenza,/wiki/William_Kaelin_Jr.,/wiki/Peter_J._Ratcliffe,/wiki/Gregg_L._Semenza
6,2018,James P. Allison,Tasuku Honjo,,/wiki/James_P._Allison,/wiki/Tasuku_Honjo,
7,2017,Jeffrey C. Hall,Michael Rosbash,Michael W. Young,/wiki/Jeffrey_C._Hall,/wiki/Michael_Rosbash,/wiki/Michael_W._Young
8,2016,Yoshinori Ohsumi,,,/wiki/Yoshinori_Ohsumi,,
9,2015,William C. Campbell,Satoshi Ōmura,Tu Youyou,/wiki/William_C._Campbell_(scientist),/wiki/Satoshi_%C5%8Cmura,/wiki/Tu_Youyou
10,2014,John O'Keefe,May-Britt Moser,Edvard Moser,/wiki/John_O%27Keefe_(neuroscientist),/wiki/May-Britt_Moser,/wiki/Edvard_Moser
11,2013,James E. Rothman,Randy W. Schekman,Thomas C. Südhof,/wiki/James_Rothman,/wiki/Randy_W._Schekman,/wiki/Thomas_C._S%C3%BCdhof
12,2012,John B. Gurdon,Shinya Yamanaka,,/wiki/John_Gurdon,/wiki/Shinya_Yamanaka,
13,2011,Bruce Beutler,Jules A. Hoffmann,Ralph M. Steinman,/wiki/Bruce_Beutler,/wiki/Jules_A._Hoffmann,/wiki/Ralph_M._Steinman
14,2010,Robert Edwards,,,/wiki/Robert_Edwards_(physiologist),,
15,2009,Elizabeth Blackburn,Carol W. Greider,Jack W. Szostak,/wiki/Elizabeth_Blackburn,/wiki/Carol_W._Greider,/wiki/Jack_W._Szostak
16,2008,Harald zur Hausen,Françoise Barré-Sinoussi,Luc Montagnier,/wiki/Harald_zur_Hausen,/wiki/Fran%C3%A7oise_Barr%C3%A9-Sinoussi,/wiki/Luc_Montagnier
17,2007,Mario Capecchi,Martin Evans,Oliver Smithies,/wiki/Mario_Capecchi,/wiki/Martin_Evans,/wiki/Oliver_Smithies
18,2006,Andrew Fire,Craig Mello,,/wiki/Andrew_Fire,/wiki/Craig_Mello,
19,2005,Barry Marshall,Robin Warren,,/wiki/Barry_Marshall,/wiki/Robin_Warren,
20,2004,Richard Axel,Linda B. Buck,,/wiki/Richard_Axel,/wiki/Linda_B._Buck,
21,2003,Paul Lauterbur,Peter Mansfield,,/wiki/Paul_Lauterbur,/wiki/Peter_Mansfield,
22,2002,Sydney Brenner,H. Robert Horvitz,John Sulston,/wiki/Sydney_Brenner,/wiki/H._Robert_Horvitz,/wiki/John_Sulston
23,2001,Leland H. Hartwell,Tim Hunt,Paul Nurse,/wiki/Leland_H._Hartwell,/wiki/Tim_Hunt,/wiki/Paul_Nurse
24,2000,Arvid Carlsson,Paul Greengard,Eric Kandel,/wiki/Arvid_Carlsson,/wiki/Paul_Greengard,/wiki/Eric_Kandel
25,1999,Günter Blobel,,,/wiki/G%C3%BCnter_Blobel,,
26,1998,Robert F. Furchgott,Louis Ignarro,Ferid Murad,/wiki/Robert_F._Furchgott,/wiki/Louis_Ignarro,/wiki/Ferid_Murad
27,1997,Stanley B. Prusiner,,,/wiki/Stanley_B._Prusiner,,
28,1996,Peter C. Doherty,Rolf M. Zinkernagel,,/wiki/Peter_C._Doherty,/wiki/Rolf_M._Zinkernagel,
29,1995,Edward B. Lewis,Christiane Nüsslein-Volhard,Eric F. Wieschaus,/wiki/Edward_B._Lewis,/wiki/Christiane_N%C3%BCsslein-Volhard,/wiki/Eric_F._Wieschaus
30,1994,Alfred G. Gilman,Martin Rodbell,,/wiki/Alfred_G._Gilman,/wiki/Martin_Rodbell,
31,1993,Richard J. Roberts,Phillip Allen Sharp,,/wiki/Richard_J._Roberts,/wiki/Phillip_Allen_Sharp,
32,1992,Edmond H. Fischer,Edwin G. Krebs,,/wiki/Edmond_H._Fischer,/wiki/Edwin_G._Krebs,
33,1991,Erwin Neher,Bert Sakmann,,/wiki/Erwin_Neher,/wiki/Bert_Sakmann,
34,1990,Joseph Murray,E. Donnall Thomas,,/wiki/Joseph_Murray,/wiki/E._Donnall_Thomas,
