,YEAR,AUTHOR_1,AUTHOR_2,AUTHOR_3,URL_1,URL_2,URL_3
0,2024,Nihon Hidankyo,,,/wiki/Nihon_Hidankyo,,
1,2023,Narges Mohammadi,,,/wiki/Narges_Mohammadi,,
2,2022,Ales Bialiatski,Memorial,Centre for Civil Liberties,/wiki/Ales_Bialiatski,/wiki/Memorial_(society),/wiki/Center_for_Civil_Liberties_(human_rights_organization)
3,2021,Maria Ressa,Dmitry Muratov,,/wiki/Maria_Ressa,/wiki/Dmitry_Muratov,
4,2020,World Food Programme,,,/wiki/World_Food_Programme,,
5,2019,Abiy Ahmed,,,/wiki/Abiy_Ahmed,,
6,2018,Denis Mukwege,Nadia Murad,,/wiki/Denis_Mukwege,/wiki/Nadia_Murad,
7,2017,International Campaign to Abolish Nuclear Weapons,,,/wiki/International_Campaign_to_Abolish_Nuclear_Weapons,,
8,2016,Juan Manuel Santos,,,/wiki/Juan_Manuel_Santos,,
9,2015,Tunisian National Dialogue Quartet,,,/wiki/Tunisian_National_Dialogue_Quartet,,
10,2014,Kailash Satyarthi,Malala Yousafzai,,/wiki/Kailash_Satyarthi,/wiki/Malala_Yousafzai,
11,2013,Organisation for the Prohibition of Chemical Weapons,,,/wiki/Organisation_for_the_Prohibition_of_Chemical_Weapons,,
12,2012,European Union,,,/wiki/European_Union,,
13,2011,Ellen Johnson Sirleaf,Leymah Gbowee,Tawakel Karman,/wiki/Ellen_Johnson_Sirleaf,/wiki/Leymah_Gbowee,/wiki/Tawakel_Karman
14,2010,Liu Xiaobo[g],,,/wiki/Liu_Xiaobo,#cite_note-F-22,
15,2009,Barack Obama,,,/wiki/Barack_Obama,,
16,2008,Martti Ahtisaari,,,/wiki/Martti_Ahtisaari,,
17,2007,Intergovernmental Panel on Climate Change,Al Gore,,/wiki/Intergovernmental_Panel_on_Climate_Change,/wiki/Al_Gore,
18,2006,Muhammad Yunus,Grameen Bank,,/wiki/Muhammad_Yunus,/wiki/Grameen_Bank,
19,2005,International Atomic Energy Agency,Mohamed ElBaradei,,/wiki/International_Atomic_Energy_Agency,/wiki/Mohamed_ElBaradei,
20,2004,Wangari Maathai,,,/wiki/Wangari_Maathai,,
21,2003,Shirin Ebadi,,,/wiki/Shirin_Ebadi,,
22,2002,Jimmy Carter,,,/wiki/Jimmy_Carter,,
23,2001,United Nations,Kofi Annan,,/wiki/United_Nations,/wiki/Kofi_Annan,
24,2000,Kim Dae-jung,,,/wiki/Kim_Dae-jung,,
25,1999,Médecins Sans Frontières,,,/wiki/M%C3%A9decins_Sans_Fronti%C3%A8res,,
26,1998,John Hume,David Trimble,,/wiki/John_Hume,/wiki/David_Trimble,
27,1997,International Campaign to Ban Landmines,Jody Williams,,/wiki/International_Campaign_to_Ban_Landmines,/wiki/Jody_Williams,
28,1996,Carlos Filipe Ximenes Belo,José Ramos-Horta,,/wiki/Carlos_Filipe_Ximenes_Belo,/wiki/Jos%C3%A9_Ramos-Horta,
29,1995,Joseph Rotblat,Pugwash Conferences on Science and World Affairs,,/wiki/Joseph_Rotblat,/wiki/Pugwash_Conferences_on_Science_and_World_Affairs,
30,1994,Yasser Arafat,Shimon Peres,Yitzhak Rabin,/wiki/Yasser_Arafat,/wiki/Shimon_Peres,/wiki/Yitzhak_Rabin
31,1993,Nelson Mandela,F. W. de Klerk,,/wiki/Nelson_Mandela,/wiki/F._W._de_Klerk,
32,1992,Rigoberta Menchú,,,/wiki/Rigoberta_Mench%C3%BA,,
33,1991,Aung San Suu Kyi,,,/wiki/Aung_San_Suu_Kyi,,
34,1990,Mikhail Gorbachev,,,/wiki/Mikhail_Gorbachev,,
35,1989,Tenzin Gyatso (The 14th Dalai Lama),,,/wiki/14th_Dalai_Lama,,
36,1988,United Nations peacekeeping forces,,,/wiki/United_Nations_peacekeeping,,
37,1987,Óscar Arias,,,/wiki/%C3%93scar_Arias,,
38,1986,Elie Wiesel,,,/wiki/Elie_Wiesel,,
39,1985,International Physicians for the Prevention of Nuclear War,,,/wiki/International_Physicians_for_the_Prevention_of_Nuclear_War,,
40,1984,Desmond Tutu,,,/wiki/Desmond_Tutu,,
41,1983,Lech Wałęsa,,,/wiki/Lech_Wa%C5%82%C4%99sa,,
42,1982,Alva Myrdal,Alfonso García Robles,,/wiki/Alva_Myrdal,/wiki/Alfonso_Garc%C3%ADa_Robles,
43,1981,United Nations High Commissioner for Refugees,,,/wiki/United_Nations_High_Commissioner_for_Refugees,,
44,1980,Adolfo Pérez Esquivel,,,/wiki/Adolfo_P%C3%A9rez_Esquivel,,
45,1979,Mother Teresa,,,/wiki/Mother_Teresa,,
46,1978,Anwar Sadat,Menachem Begin,,/wiki/Anwar_Sadat,/wiki/Menachem_Begin,
47,1977,Amnesty International,,,/wiki/Amnesty_International,,
48,1976,Betty Williams,Mairead Maguire,,/wiki/Betty_Williams_(peace_activist),/wiki/Mairead_Maguire,
49,1975,Andrei Sakharov,,,/wiki/Andrei_Sakharov,,
50,1974,Seán MacBride,Eisaku Satō,,/wiki/Se%C3%A1n_MacBride,/wiki/Eisaku_Sat%C5%8D,
51,1973,Henry Kissinger,Lê Đức Thọ[f],,/wiki/Henry_Kissinger,/wiki/L%C3%AA_%C4%90%E1%BB%A9c_Th%E1%BB%8D,#cite_note-E-20
52,1972,,,,John Hicks,Kenneth Arrow,
53,1971,Willy Brandt,,,/wiki/Willy_Brandt,,
54,1970,Norman Borlaug,,,/wiki/Norman_Borlaug,,
55,1969,International Labour Organization,,,/wiki/International_Labour_Organization,,
56,1968,René Cassin,,,/wiki/Ren%C3%A9_Cassin,,
57,1967,,,,No Record,,
