,YEAR,AUTHOR_1,AUTHOR_2,AUTHOR_3,URL_1,URL_2,URL_3
0,2024,John Hopfield,Geoffrey Hinton,,/wiki/John_Hopfield,/wiki/Geoffrey_Hinton,
1,2023,Pierre Agostini,Ferenc Krausz,Anne L'Huillier,/wiki/Pierre_Agostini,/wiki/Ferenc_Krausz,/wiki/Anne_L%27Huillier
2,2022,Alain Aspect,John Clauser,Anton Zeilinger,/wiki/Alain_Aspect,/wiki/John_Clauser,/wiki/Anton_Zeilinger
3,2021,Giorgio Parisi,Klaus Hasselmann,Syukuro Manabe,/wiki/Giorgio_Parisi,/wiki/Klaus_Hasselmann,/wiki/Syukuro_Manabe
4,2020,Roger Penrose,Reinhard Genzel,Andrea M. Ghez,/wiki/Roger_Penrose,/wiki/Reinhard_Genzel,/wiki/Andrea_M._Ghez
5,2019,Jim Peebles,Michel Mayor,Didier Queloz,/wiki/Jim_Peebles,/wiki/Michel_Mayor,/wiki/Didier_Queloz
6,2018,Arthur Ashkin,Gérard Mourou,Donna Strickland,/wiki/Arthur_Ashkin,/wiki/G%C3%A9rard_Mourou,/wiki/Donna_Strickland
7,2017,Rainer Weiss,Barry Barish,Kip Thorne,/wiki/Rainer_Weiss,/wiki/Barry_Barish,/wiki/Kip_Thorne
8,2016,David J. Thouless,Duncan Haldane,John M. Kosterlitz,/wiki/David_J._Thouless,/wiki/Duncan_Haldane,/wiki/John_M._Kosterlitz
9,2015,Takaaki Kajita,Arthur B. McDonald,,/wiki/Takaaki_Kajita,/wiki/Arthur_B._McDonald,
10,2014,Isamu Akasaki,Hiroshi Amano,Shuji Nakamura,/wiki/Isamu_Akasaki,/wiki/Hiroshi_Amano,/wiki/Shuji_Nakamura
11,2013,François Englert,Peter W. Higgs,,/wiki/Fran%C3%A7ois_Englert,/wiki/Peter_Higgs,
12,2012,Serge Haroche,David J. Wineland,,/wiki/Serge_Haroche,/wiki/David_J._Wineland,
13,2011,Saul Perlmutter,Adam Riess,Brian Schmidt,/wiki/Saul_Perlmutter,/wiki/Adam_Riess,/wiki/Brian_Schmidt
14,2010,Andre Geim,Konstantin Novoselov,,/wiki/Andre_Geim,/wiki/Konstantin_Novoselov,
15,2009,Charles K. Kao,Willard S. Boyle,George E. Smith,/wiki/Charles_K._Kao,/wiki/Willard_Boyle,/wiki/George_E._Smith
16,2008,Yoichiro Nambu,Makoto Kobayashi,Toshihide Maskawa,/wiki/Yoichiro_Nambu,/wiki/Makoto_Kobayashi_(physicist),/wiki/Toshihide_Maskawa
17,2007,Albert Fert,Peter Grünberg,,/wiki/Albert_Fert,/wiki/Peter_Gr%C3%BCnberg,
18,2006,John C. Mather,George Smoot,,/wiki/John_C._Mather,/wiki/George_Smoot,
19,2005,Roy J. Glauber,John L. Hall,Theodor W. Hänsch,/wiki/Roy_J._Glauber,/wiki/John_L._Hall,/wiki/Theodor_W._H%C3%A4nsch
20,2004,David Gross,Hugh David Politzer,Frank Wilczek,/wiki/David_Gross,/wiki/Hugh_David_Politzer,/wiki/Frank_Wilczek
21,2003,Alexei Abrikosov,Vitaly Ginzburg,Anthony James Leggett,/wiki/Alexei_Abrikosov_(physicist),/wiki/Vitaly_Ginzburg,/wiki/Anthony_James_Leggett
22,2002,Riccardo Giacconi,Raymond Davis Jr.,Masatoshi Koshiba,/wiki/Riccardo_Giacconi,/wiki/Raymond_Davis_Jr.,/wiki/Masatoshi_Koshiba
23,2001,Eric Allin Cornell,Wolfgang Ketterle,Carl Wieman,/wiki/Eric_Allin_Cornell,/wiki/Wolfgang_Ketterle,/wiki/Carl_Wieman
24,2000,Jack Kilby,Zhores Alferov,Herbert Kroemer,/wiki/Jack_Kilby,/wiki/Zhores_Alferov,/wiki/Herbert_Kroemer
25,1999,Gerard 't Hooft,Martinus J. G. Veltman,,/wiki/Gerard_%27t_Hooft,/wiki/Martinus_J._G._Veltman,
26,1998,Robert B. Laughlin,Horst Ludwig Störmer,Daniel C. Tsui,/wiki/Robert_B._Laughlin,/wiki/Horst_Ludwig_St%C3%B6rmer,/wiki/Daniel_C._Tsui
27,1997,Steven Chu,Claude Cohen-Tannoudji,William Daniel Phillips,/wiki/Steven_Chu,/wiki/Claude_Cohen-Tannoudji,/wiki/William_Daniel_Phillips
28,1996,David Lee,Douglas Osheroff,Robert Coleman Richardson,/wiki/David_Lee_(physicist),/wiki/Douglas_Osheroff,/wiki/Robert_Coleman_Richardson
29,1995,Martin Lewis Perl,Frederick Reines,,/wiki/Martin_Lewis_Perl,/wiki/Frederick_Reines,
30,1994,Bertram Brockhouse,Clifford Shull,,/wiki/Bertram_Brockhouse,/wiki/Clifford_Shull,
